time,elapsed,test_type,phase,axis,direction,target_speed,cmd_vx,cmd_wz,fb_vx,fb_vy,fb_wz
1782644396.2672622,4.291534423828125e-06,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.3073928,0.04013490676879883,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.3473406,0.08008265495300293,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.3874032,0.12014532089233398,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.4273517,0.1600937843322754,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.4674265,0.20016860961914062,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.507426,0.24016809463500977,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.5474453,0.28018736839294434,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.5874195,0.3201615810394287,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.6274006,0.36014270782470703,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.667361,0.4001030921936035,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.7074168,0.4401588439941406,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.7475646,0.48030662536621094,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.7874246,0.5201666355133057,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.8274064,0.5601484775543213,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.8674057,0.6001477241516113,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.9073982,0.6401402950286865,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.9474444,0.6801865100860596,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644396.9874263,0.7201683521270752,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644397.027425,0.760167121887207,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644397.067425,0.8001670837402344,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644397.1074324,0.8401744365692139,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
1782644397.1473925,0.8801345825195312,breakaway,target_from_rest,vx,1,0.005,0.005,0.0,0.0,0.0,0.0
