time,stage,target_wz,mode,yaw_unwrapped,stage_yaw_delta,odom_x,odom_y,odom_vx,odom_vy,odom_wz,cmd_sent_vx,cmd_sent_wz,last_sent_vx,last_sent_wz,vx_pwm,wz_pwm,pwm_1,pwm_2,pwm_3,pwm_4,wheel_layout,motor_signs,wz_pwm_deadband,wz_pwm_gain,pwm_max
1782800729.957109,0,0.06,running,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1782800730.0293744,0,0.06,running,0.011913101503643189,0.0,-0.03166157240388365,0.02525655274197434,0.0,0.0,0.0,0.0,0.06,,,,,,,,,,,,,
1782800730.1293874,0,0.06,running,0.01037748844364563,0.001535613059997559,-0.031864165649973804,0.025454527554082264,-0.003,0.003,-0.023,0.0,0.06,,,,,,,,,,,,,
1782800730.229323,0,0.06,running,0.0025813618395654292,0.00933173966407776,-0.03185802764607144,0.024755567862924915,0.003,-0.011,-0.164,0.0,0.06,,,,,,,,,,,,,
1782800730.32951,0,0.06,running,-0.027218119790759884,0.03913122129440307,-0.03282926939863924,0.02456322309758543,-0.011,-0.003,-0.305,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800730.4294279,0,0.06,running,-0.06882379834910948,0.08073689985275267,-0.03355028757457909,0.024067764735346487,-0.007,-0.007,-0.423,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800730.5294971,0,0.06,running,-0.12050723855754457,0.13242034006118775,-0.03510366996762578,0.023474444919833408,-0.023,0.0,-0.564,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800730.6292546,0,0.06,running,-0.18254937141200625,0.19446247291564944,-0.03677575362246536,0.023370020060969963,-0.015,-0.007,-0.658,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800730.7295654,0,0.06,running,-0.24705517356654724,0.25896827507019043,-0.038742246756111966,0.023200046877574515,-0.019,-0.011,-0.681,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800730.829734,0,0.06,running,-0.3160970289017829,0.32801013040542604,-0.041099452781006685,0.02230382895465162,-0.027,-0.011,-0.681,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
1782800730.929725,0,0.06,running,-0.38792204182406975,0.3998351433277129,-0.042995014975831594,0.022217192688604604,-0.011,-0.003,-0.775,0.0,0.06,0.0,0.06,0.0,19.0,-19,-19,19,19,fl-rl-fr-rr,"[1, 1, 1, 1]",10.0,150.0,40.0
