publisher: beginning loop
publishing #1: std_msgs.msg.String(data='backpack')

publishing #2: std_msgs.msg.String(data='backpack')

publishing #3: std_msgs.msg.String(data='backpack')

publishing #4: std_msgs.msg.String(data='backpack')

publishing #5: std_msgs.msg.String(data='backpack')

publishing #6: std_msgs.msg.String(data='backpack')

publishing #7: std_msgs.msg.String(data='backpack')

publishing #8: std_msgs.msg.String(data='backpack')

publishing #9: std_msgs.msg.String(data='backpack')

publishing #10: std_msgs.msg.String(data='backpack')

publishing #11: std_msgs.msg.String(data='backpack')

publishing #12: std_msgs.msg.String(data='backpack')

publishing #13: std_msgs.msg.String(data='backpack')

publishing #14: std_msgs.msg.String(data='backpack')

publishing #15: std_msgs.msg.String(data='backpack')

publishing #16: std_msgs.msg.String(data='backpack')

publishing #17: std_msgs.msg.String(data='backpack')

publishing #18: std_msgs.msg.String(data='backpack')

publishing #19: std_msgs.msg.String(data='backpack')

publishing #20: std_msgs.msg.String(data='backpack')

publishing #21: std_msgs.msg.String(data='backpack')

publishing #22: std_msgs.msg.String(data='backpack')

publishing #23: std_msgs.msg.String(data='backpack')

publishing #24: std_msgs.msg.String(data='backpack')

publishing #25: std_msgs.msg.String(data='backpack')

publishing #26: std_msgs.msg.String(data='backpack')

publishing #27: std_msgs.msg.String(data='backpack')

publishing #28: std_msgs.msg.String(data='backpack')

publishing #29: std_msgs.msg.String(data='backpack')

publishing #30: std_msgs.msg.String(data='backpack')

publishing #31: std_msgs.msg.String(data='backpack')

publishing #32: std_msgs.msg.String(data='backpack')

publishing #33: std_msgs.msg.String(data='backpack')

publishing #34: std_msgs.msg.String(data='backpack')

publishing #35: std_msgs.msg.String(data='backpack')

publishing #36: std_msgs.msg.String(data='backpack')

publishing #37: std_msgs.msg.String(data='backpack')

publishing #38: std_msgs.msg.String(data='backpack')

publishing #39: std_msgs.msg.String(data='backpack')

publishing #40: std_msgs.msg.String(data='backpack')

publishing #41: std_msgs.msg.String(data='backpack')

publishing #42: std_msgs.msg.String(data='backpack')

publishing #43: std_msgs.msg.String(data='backpack')

publishing #44: std_msgs.msg.String(data='backpack')

publishing #45: std_msgs.msg.String(data='backpack')

publishing #46: std_msgs.msg.String(data='backpack')

publishing #47: std_msgs.msg.String(data='backpack')

publishing #48: std_msgs.msg.String(data='backpack')

publishing #49: std_msgs.msg.String(data='backpack')

publishing #50: std_msgs.msg.String(data='backpack')

publishing #51: std_msgs.msg.String(data='backpack')

publishing #52: std_msgs.msg.String(data='backpack')

publishing #53: std_msgs.msg.String(data='backpack')

publishing #54: std_msgs.msg.String(data='backpack')

publishing #55: std_msgs.msg.String(data='backpack')

publishing #56: std_msgs.msg.String(data='backpack')

publishing #57: std_msgs.msg.String(data='backpack')

publishing #58: std_msgs.msg.String(data='backpack')

publishing #59: std_msgs.msg.String(data='backpack')

publishing #60: std_msgs.msg.String(data='backpack')

publishing #61: std_msgs.msg.String(data='backpack')

publishing #62: std_msgs.msg.String(data='backpack')

publishing #63: std_msgs.msg.String(data='backpack')

publishing #64: std_msgs.msg.String(data='backpack')

publishing #65: std_msgs.msg.String(data='backpack')

publishing #66: std_msgs.msg.String(data='backpack')

publishing #67: std_msgs.msg.String(data='backpack')

publishing #68: std_msgs.msg.String(data='backpack')

publishing #69: std_msgs.msg.String(data='backpack')

publishing #70: std_msgs.msg.String(data='backpack')

