[INFO] [1781017158.367980794] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781017158.370397716] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1781017158.942783580] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781017158.945004876] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781017158.947853757] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1781017158.949937678] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.100 m/s, max_wz=0.200 rad/s
[INFO] [1781017158.952010974] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.110, kick_duration=0.220s, min_drive_vx=0.010, kick_max_wz=0.120, kick_cooldown=1.000s
[INFO] [1781017160.942496967] [cmd_vel_to_rosmaster]: status: battery=11.5, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781017162.942627518] [cmd_vel_to_rosmaster]: status: battery=11.5, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781017163.739500764] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=True
[INFO] [1781017163.747262114] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.756838342] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.766701696] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.773929586] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.782286270] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.789909411] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.828471492] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.875394840] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
[INFO] [1781017163.924606984] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.010, linear.y=0.000, angular.z=0.021 => send: vx=0.010, vy=0.000, wz=0.021, kick=False
