[INFO] [1782905588.662194507] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.18, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1782905602.456426757] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=251, removed_isolated=6
[INFO] [1782905607.576805273] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=242, removed_isolated=5
[INFO] [1782905612.536690581] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=242, removed_isolated=6
[INFO] [1782905617.528116640] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=247, removed_isolated=6
[INFO] [1782905622.520035572] [simple_scan_filter]: scan stats: n=404, zeros=123, nan=0, inf=0, finite_raw=281, finite_out=238, removed_isolated=8
[INFO] [1782905627.537750389] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=246, removed_isolated=5
[INFO] [1782905632.502312774] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=247, removed_isolated=6
[INFO] [1782905637.494713289] [simple_scan_filter]: scan stats: n=404, zeros=124, nan=0, inf=0, finite_raw=280, finite_out=242, removed_isolated=5
[INFO] [1782905642.480727021] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=257, removed_isolated=3
[INFO] [1782905647.475806783] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=249, removed_isolated=5
[INFO] [1782905652.481866406] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=253, removed_isolated=3
[INFO] [1782905657.455753612] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=252, removed_isolated=5
[INFO] [1782905662.452072456] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=249, removed_isolated=5
[INFO] [1782905667.443707848] [simple_scan_filter]: scan stats: n=404, zeros=110, nan=0, inf=0, finite_raw=294, finite_out=255, removed_isolated=3
[INFO] [1782905672.437985986] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=245, removed_isolated=5
[INFO] [1782905677.420868055] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=251, removed_isolated=3
[INFO] [1782905682.413071446] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=243, removed_isolated=5
[INFO] [1782905687.400422509] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=247, removed_isolated=5
[INFO] [1782905692.392223692] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=242, removed_isolated=5
[INFO] [1782905697.383673542] [simple_scan_filter]: scan stats: n=404, zeros=110, nan=0, inf=0, finite_raw=294, finite_out=254, removed_isolated=3
[INFO] [1782905702.373792894] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=258, removed_isolated=2
[INFO] [1782905707.367974990] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=250, removed_isolated=5
[INFO] [1782905712.361270046] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=249, removed_isolated=5
[INFO] [1782905717.359967621] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=253, removed_isolated=4
[INFO] [1782905722.338027452] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=257, removed_isolated=2
[INFO] [1782905727.327531312] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=254, removed_isolated=5
[INFO] [1782905732.318484165] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=253, removed_isolated=6
[INFO] [1782905737.325266502] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=254, removed_isolated=5
[INFO] [1782905742.302313108] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=252, removed_isolated=3
[INFO] [1782905747.297403571] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=250, removed_isolated=4
[INFO] [1782905752.283834994] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=246, removed_isolated=5
[INFO] [1782905757.289647147] [simple_scan_filter]: scan stats: n=404, zeros=109, nan=0, inf=0, finite_raw=295, finite_out=254, removed_isolated=4
[INFO] [1782905762.269042568] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=252, removed_isolated=5
[INFO] [1782905767.259431059] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=250, removed_isolated=4
[INFO] [1782905772.258242496] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=252, removed_isolated=3
[INFO] [1782905777.241826692] [simple_scan_filter]: scan stats: n=404, zeros=125, nan=0, inf=0, finite_raw=279, finite_out=242, removed_isolated=6
[INFO] [1782905782.239910330] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=255, removed_isolated=3
[INFO] [1782905787.231048803] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=251, removed_isolated=5
[INFO] [1782905792.213751696] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=246, removed_isolated=4
[INFO] [1782905797.206729325] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=257, removed_isolated=2
[INFO] [1782905802.198584035] [simple_scan_filter]: scan stats: n=404, zeros=115, nan=0, inf=0, finite_raw=289, finite_out=254, removed_isolated=4
[INFO] [1782905807.191027782] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=255, removed_isolated=3
[INFO] [1782905812.188083312] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=253, removed_isolated=5
[INFO] [1782905817.180282133] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=256, removed_isolated=5
[INFO] [1782905822.166557956] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=250, removed_isolated=5
[INFO] [1782905827.157310937] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=251, removed_isolated=5
[INFO] [1782905832.153593618] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=253, removed_isolated=6
[INFO] [1782905837.143777675] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=251, removed_isolated=5
[INFO] [1782905842.136033642] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=252, removed_isolated=4
[INFO] [1782905847.125073734] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=254, removed_isolated=5
[INFO] [1782905852.119191525] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=255, removed_isolated=4
[INFO] [1782905857.111948229] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=249, removed_isolated=4
[INFO] [1782905862.104960721] [simple_scan_filter]: scan stats: n=404, zeros=117, nan=0, inf=0, finite_raw=287, finite_out=250, removed_isolated=3
[INFO] [1782905867.095973128] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=256, removed_isolated=3
[INFO] [1782905872.086087531] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=254, removed_isolated=5
[INFO] [1782905877.076590763] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=250, removed_isolated=4
[INFO] [1782905882.070399279] [simple_scan_filter]: scan stats: n=404, zeros=120, nan=0, inf=0, finite_raw=284, finite_out=248, removed_isolated=5
