[INFO] [1783074797.913119659] [foxglove_click_goal_bridge]: Foxglove click goal bridge started.
[INFO] [1783074797.917029655] [foxglove_click_goal_bridge]: Listening point click topic:
[INFO] [1783074797.929491393] [foxglove_click_goal_bridge]:   /foxglove_goal_point
[INFO] [1783074797.932971348] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PointStamped
[INFO] [1783074797.936623136] [foxglove_click_goal_bridge]: Listening pose click topic:
[INFO] [1783074797.940080549] [foxglove_click_goal_bridge]:   /foxglove_goal_pose
[INFO] [1783074797.943715338] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PoseStamped
[INFO] [1783074797.948846749] [foxglove_click_goal_bridge]: Recommended Foxglove tool:
[INFO] [1783074797.952282580] [foxglove_click_goal_bridge]:   Publish -> 2D point -> /foxglove_goal_point
[INFO] [1783074797.956004326] [foxglove_click_goal_bridge]: Visual path topic: /foxglove_click_planned_path
[INFO] [1783074797.983439425] [foxglove_click_goal_bridge]: Visual goal marker: /foxglove_click_goal_marker + /foxglove_click_goal_label
[INFO] [1783074800.678615980] [foxglove_click_goal_bridge]: >>> CLICK READY: Foxglove 可以单击地图白色区域发送导航目标。 Topic=/foxglove_goal_point, frame=map。 若 scan 与地图错位，请先用 /initialpose 校正。导航进行中会忽略新点击。
[INFO] [1783074836.940094278] [foxglove_click_goal_bridge]: Goal marker published at (-0.336, 0.046) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783074836.944731899] [foxglove_click_goal_bridge]: Received Foxglove clicked point: frame_id=map, x=-0.336, y=0.046, goal_yaw=2.965
[INFO] [1783074836.947743896] [foxglove_click_goal_bridge]: Goal map cell OK: (-0.336, 0.046) -> free(val=0)
[INFO] [1783074836.957396303] [foxglove_click_goal_bridge]: Goal marker published at (-0.336, 0.046) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783074836.961384674] [foxglove_click_goal_bridge]: [1] Accepted goal: frame=map, x=-0.336, y=0.046
[INFO] [1783074837.000722345] [foxglove_click_goal_bridge]: [1] NavigateToPose goal accepted. Robot should start planning/following.
[INFO] [1783074837.046803427] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.000 m, recoveries=0
[INFO] [1783074837.064556327] [foxglove_click_goal_bridge]: [1] Planned path published: 93 poses -> /foxglove_click_planned_path
[INFO] [1783074839.063611975] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.320 m, recoveries=0
[INFO] [1783074841.085321770] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.320 m, recoveries=0
[INFO] [1783074843.098457698] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.320 m, recoveries=0
[INFO] [1783074845.099985972] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.320 m, recoveries=0
[INFO] [1783074847.105846366] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074849.125083291] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074851.143691467] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074853.156807357] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074855.178470031] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074857.188359342] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074859.195641240] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074861.198759433] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074863.227336312] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074865.243508912] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074867.259926220] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074869.274330739] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074871.279565809] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074873.293441038] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074875.319343799] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074877.314758338] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074879.314504541] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074881.338187805] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074883.334550513] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074885.341058419] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074887.358990108] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074889.372004468] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074891.393296738] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074893.395589901] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074895.400156855] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074897.404413434] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074899.427809788] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074901.438687821] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074903.451988894] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074905.459688015] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074907.476317002] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074909.478934921] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074911.497398658] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074913.527542385] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074915.533950052] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074917.538331971] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074919.554826046] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074921.581839612] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074923.597177023] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074925.594563660] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074927.637312588] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074929.636013433] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074931.652984304] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074933.662105641] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074935.680062011] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=0
[INFO] [1783074937.698723299] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=1
[INFO] [1783074939.698277730] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=1
[INFO] [1783074941.713590355] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=1
[INFO] [1783074943.721975320] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=1
[INFO] [1783074945.738727320] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=1
[INFO] [1783074947.873328462] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.301 m, recoveries=1
[ERROR] [1783074948.052093546] [foxglove_click_goal_bridge]: [1] Navigation ended. status=6, error_code=None, error_msg=
