[INFO] [1783321112.563961346] [foxglove_click_goal_bridge]: Foxglove click goal bridge started.
[INFO] [1783321112.568133177] [foxglove_click_goal_bridge]: Listening point click topic:
[INFO] [1783321112.571407884] [foxglove_click_goal_bridge]:   /foxglove_goal_point
[INFO] [1783321112.574772674] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PointStamped
[INFO] [1783321112.577883548] [foxglove_click_goal_bridge]: Listening pose click topic:
[INFO] [1783321112.581048505] [foxglove_click_goal_bridge]:   /foxglove_goal_pose
[INFO] [1783321112.584414795] [foxglove_click_goal_bridge]:   geometry_msgs/msg/PoseStamped
[INFO] [1783321112.587345544] [foxglove_click_goal_bridge]: Recommended Foxglove tool:
[INFO] [1783321112.590761001] [foxglove_click_goal_bridge]:   Publish -> 2D point -> /foxglove_goal_point
[INFO] [1783321112.594200333] [foxglove_click_goal_bridge]: Visual path topic: /foxglove_click_planned_path
[INFO] [1783321112.597515123] [foxglove_click_goal_bridge]: Visual trajectory: /foxglove_click_trajectory_dots (red dots)
[INFO] [1783321112.600809955] [foxglove_click_goal_bridge]: Visual start marker: /foxglove_click_start_marker
[INFO] [1783321112.604113829] [foxglove_click_goal_bridge]: Visual goal marker: /foxglove_click_goal_marker + /foxglove_click_goal_label
[INFO] [1783321112.607160202] [foxglove_click_goal_bridge]: Foxglove map viz: /foxglove_map_viz (use in 3D panel instead of /map)
[INFO] [1783321114.237979584] [foxglove_click_goal_bridge]: >>> CLICK READY: Foxglove 可以单击地图白色区域发送导航目标。 Topic=/foxglove_goal_point, frame=map。 若 scan 与地图错位，请先用 /initialpose 校正。导航进行中会忽略新点击。
[INFO] [1783321118.558159186] [foxglove_click_goal_bridge]: Transformed click from base_link (-1.623, 2.096) -> map (-2.594, -0.795)
[INFO] [1783321118.573660971] [foxglove_click_goal_bridge]: Goal marker published at (-2.594, -0.795) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783321118.577726261] [foxglove_click_goal_bridge]: Received Foxglove clicked point: frame_id=base_link, x=-2.594, y=-0.795, goal_yaw=1.113
[INFO] [1783321118.580657843] [foxglove_click_goal_bridge]: Goal footprint OK: (-2.594, -0.795) -> ok (radius=0.11m)
[INFO] [1783321118.596952128] [foxglove_click_goal_bridge]: [1] Start marker at (0.004, -0.266) -> /foxglove_click_start_marker
[INFO] [1783321118.605788332] [foxglove_click_goal_bridge]: Goal marker published at (-2.594, -0.795) -> /foxglove_click_goal_marker /foxglove_click_goal_label
[INFO] [1783321118.609233581] [foxglove_click_goal_bridge]: [1] Accepted goal: frame=map, x=-2.594, y=-0.795
[INFO] [1783321118.694921961] [foxglove_click_goal_bridge]: [1] Planned path published: 108 poses -> /foxglove_click_planned_path
[INFO] [1783321118.710209329] [foxglove_click_goal_bridge]: [1] NavigateToPose goal accepted. Robot should start planning/following.
[INFO] [1783321118.719508534] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=0.000 m, recoveries=0
[INFO] [1783321120.727625879] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321122.728593979] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321124.749300236] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321126.749754461] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321128.769350336] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321130.787460976] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321132.789880586] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321134.807926703] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321136.809673458] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
[INFO] [1783321138.827424178] [foxglove_click_goal_bridge]: [1] navigating: distance_remaining=2.733 m, recoveries=0
