[INFO] [1781269511.525205091] [compressed_to_raw_image]: compressed_to_raw_image started
[INFO] [1781269511.527613925] [compressed_to_raw_image]: subscribe: /image  type=sensor_msgs/msg/CompressedImage
[INFO] [1781269511.529703258] [compressed_to_raw_image]: publish  : /image_raw type=sensor_msgs/msg/Image
[INFO] [1781269705.519282143] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=0.01
[INFO] [1781269707.538323425] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.83
[INFO] [1781269709.573740409] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.15
[INFO] [1781269711.621810054] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781269713.656977988] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.65
[INFO] [1781269715.675613295] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.32
[INFO] [1781269717.722381095] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781269719.770602308] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781269721.841143138] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781269723.829764975] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.92
[INFO] [1781269725.871677051] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.08
[INFO] [1781269727.874201628] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781269729.919482654] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.06
[INFO] [1781269731.921603765] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781269733.933324497] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781269735.972061345] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781269738.021722605] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269740.070403445] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781269742.072258995] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781269744.071975751] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269746.071705378] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269748.071687251] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781269750.120192113] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781269752.169928763] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
