[WARN] [1781269571.614601462] [hobot_yolo_world]: This is hobot yolo world!
[WARN] [1781269571.711346675] [hobot_yolo_world]: Parameter:
 feed_type(0:local, 1:sub): 1
 image: config/yolo_world_test.jpg
 dump_render_img: 0
 is_shared_mem_sub: 0
 score_threshold: 0.001
 iou_threshold: 0.45
 nms_top_k: 50
 texts: backpack
 ai_msg_pub_topic_name: /hobot_yolo_world
 ros_img_sub_topic_name: /image_raw
 ros_string_sub_topic_name: /target_words
[WARN] [1781269571.956833686] [hobot_yolo_world]: Parameter:
 model_file_name: config/yolo_world.bin
 model_name: 
[WARN] [1781269571.957049644] [hobot_yolo_world]: model_file_name_: config/yolo_world.bin, task_num: 4
[BPU_PLAT]BPU Platform Version(1.3.6)! soc info(x5)
[HBRT] set log level as 0. version = 3.15.55.0
[DNN] Runtime version = 1.24.5_(3.15.55 HBRT)
[A][DNN][packed_model.cpp:247][Model](2026-06-12,21:06:12.646.545) [HorizonRT] The model builder version = 1.23.5
[WARN] [1781269572.980951980] [hobot_yolo_world]: Get model name: yolo_world_pad_pretrain_norm_new from load model.
[WARN] [1781269572.981174480] [hobot_yolo_world]: Create ai msg publisher with topic_name: /hobot_yolo_world
[WARN] [1781269573.021009857] [hobot_yolo_world]: Create string subscription with topic_name: /target_words
[WARN] [1781269573.024293690] [hobot_yolo_world]: Create img subscription with topic_name: /image_raw
[W][DNN]bpu_model_info.cpp:491][Version](2026-06-12,21:06:12.957.195) Model: yolo_world_pad_pretrain_norm_new. Inconsistency between the hbrt library version 3.15.55.0 and the model build version 3.15.47.0 detected, in order to ensure correct model results, it is recommended to use compilation tools and the BPU SDK from the same OpenExplorer package.
[WARN] [1781269706.934546366] [hobot_yolo_world]: Sub img fps: 24.00, Smart fps: 14.45, pre process time ms: 22, infer time ms: 317, post process time ms: 1
[WARN] [1781269708.062043284] [hobot_yolo_world]: Sub img fps: 24.00, Smart fps: 11.54, pre process time ms: 43, infer time ms: 402, post process time ms: 2
[WARN] [1781269709.128502417] [hobot_yolo_world]: Sub img fps: 18.04, Smart fps: 13.13, pre process time ms: 33, infer time ms: 318, post process time ms: 1
[WARN] [1781269710.252517792] [hobot_yolo_world]: Sub img fps: 22.53, Smart fps: 11.58, pre process time ms: 58, infer time ms: 397, post process time ms: 2
[WARN] [1781269711.297321299] [hobot_yolo_world]: Sub img fps: 20.29, Smart fps: 13.41, pre process time ms: 49, infer time ms: 319, post process time ms: 2
[WARN] [1781269712.416939464] [hobot_yolo_world]: Sub img fps: 20.61, Smart fps: 11.62, pre process time ms: 26, infer time ms: 395, post process time ms: 1
[WARN] [1781269713.459327053] [hobot_yolo_world]: Sub img fps: 18.96, Smart fps: 13.44, pre process time ms: 36, infer time ms: 314, post process time ms: 2
[WARN] [1781269714.609953711] [hobot_yolo_world]: Sub img fps: 20.27, Smart fps: 11.30, pre process time ms: 46, infer time ms: 407, post process time ms: 1
[WARN] [1781269715.666544880] [hobot_yolo_world]: Sub img fps: 19.52, Smart fps: 13.26, pre process time ms: 38, infer time ms: 319, post process time ms: 2
[WARN] [1781269716.781570874] [hobot_yolo_world]: Sub img fps: 20.48, Smart fps: 11.66, pre process time ms: 43, infer time ms: 394, post process time ms: 2
[WARN] [1781269717.824794333] [hobot_yolo_world]: Sub img fps: 20.81, Smart fps: 13.42, pre process time ms: 34, infer time ms: 317, post process time ms: 1
