[INFO] [1781854950.493366965] [compressed_to_raw_image]: compressed_to_raw_image started
[INFO] [1781854950.495671422] [compressed_to_raw_image]: subscribe: /image  type=sensor_msgs/msg/CompressedImage
[INFO] [1781854950.497693838] [compressed_to_raw_image]: publish  : /image_raw type=sensor_msgs/msg/Image
[INFO] [1781854952.502355392] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.52
[INFO] [1781854954.613996131] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781854956.744608776] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.51
[INFO] [1781854958.854507431] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781854960.949875553] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.62
[INFO] [1781854963.073896115] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781854965.174364857] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.61
[INFO] [1781854967.286290175] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781854969.414683899] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.53
[INFO] [1781854971.511140017] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.62
[INFO] [1781854973.624382540] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781854975.748835514] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781854977.848818501] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781854979.959653607] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781854982.073014293] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781854984.184094439] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781854986.300318539] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781854988.409492226] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781854990.525320324] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781854992.633799760] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781854994.745399234] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781854996.861503372] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781854998.969521639] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855001.082966569] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855003.199577120] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855005.305458928] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855007.416821981] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855009.531594699] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855011.579698123] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.33
[INFO] [1781855013.691731298] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855015.803449849] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855017.912768025] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855020.026109822] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855022.135270414] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855024.247535960] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855026.361153214] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855028.471441094] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855030.586314929] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855032.705361969] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855034.753513843] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.33
[INFO] [1781855036.883880791] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.51
[INFO] [1781855038.964703768] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.69
[INFO] [1781855041.077782309] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855043.189453350] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855045.302236014] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855047.412840637] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855049.524855842] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855051.648650830] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855053.753138413] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855055.860820285] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855057.974034362] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855060.087983395] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855062.197297889] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855064.311291296] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855066.420740288] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855068.534610944] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855070.646353058] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855072.757893255] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855074.871192576] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855076.984476562] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.57
[INFO] [1781855079.094224925] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
[INFO] [1781855081.219214153] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855083.325899308] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.56
[INFO] [1781855085.428609173] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.61
[INFO] [1781855087.551272442] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.54
[INFO] [1781855089.654840305] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.61
[INFO] [1781855091.764754163] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855093.876649603] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.58
[INFO] [1781855095.996517162] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.55
[INFO] [1781855098.105692019] [compressed_to_raw_image]: published /image_raw: 640x480, approx_fps=7.59
