[37;1m2026-06-04 23:20:45.714 [31;1m[[37;1mRTPS_TRANSPORT_SHM[31;1m Error] [37mFailed init_port fastrtps_port7413: open_and_lock_file failed[34;1m -> Function [36mopen_port_internal[m
[INFO] [1780586445.952528152] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1780586445.954713538] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1780586446.525900754] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1780586446.528101014] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1780586446.537235928] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1780586446.539931849] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.080 m/s, max_wz=0.350 rad/s
[INFO] [1780586448.525993497] [cmd_vel_to_rosmaster]: status: battery=11.6, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1780586450.526044898] [cmd_vel_to_rosmaster]: status: battery=11.6, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1780586452.526633448] [cmd_vel_to_rosmaster]: status: battery=11.6, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1780586452.675763179] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
[INFO] [1780586452.710794278] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.037 => send: vx=0.060, vy=0.000, wz=0.037
[INFO] [1780586452.732225982] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
[INFO] [1780586452.765155402] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
[INFO] [1780586452.798141613] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.037 => send: vx=0.060, vy=0.000, wz=0.037
[INFO] [1780586452.831154657] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
[INFO] [1780586452.866777831] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
[INFO] [1780586452.899061885] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
[INFO] [1780586452.931203483] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
[INFO] [1780586452.965019391] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.037 => send: vx=0.060, vy=0.000, wz=0.037
[INFO] [1780586452.998063767] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.060, linear.y=0.000, angular.z=0.038 => send: vx=0.060, vy=0.000, wz=0.038
