[INFO] [1783164041.517853822] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.18, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1783164046.397185731] [simple_scan_filter]: scan stats: n=404, zeros=119, nan=0, inf=0, finite_raw=285, finite_out=223, removed_isolated=7
[INFO] [1783164051.392919877] [simple_scan_filter]: scan stats: n=404, zeros=122, nan=0, inf=0, finite_raw=282, finite_out=225, removed_isolated=5
[INFO] [1783164056.388387584] [simple_scan_filter]: scan stats: n=404, zeros=125, nan=0, inf=0, finite_raw=279, finite_out=222, removed_isolated=5
[INFO] [1783164061.383008018] [simple_scan_filter]: scan stats: n=404, zeros=129, nan=0, inf=0, finite_raw=275, finite_out=221, removed_isolated=5
[INFO] [1783164066.379459472] [simple_scan_filter]: scan stats: n=404, zeros=126, nan=0, inf=0, finite_raw=278, finite_out=224, removed_isolated=6
[INFO] [1783164071.379844240] [simple_scan_filter]: scan stats: n=404, zeros=125, nan=0, inf=0, finite_raw=279, finite_out=226, removed_isolated=4
[INFO] [1783164076.382447780] [simple_scan_filter]: scan stats: n=404, zeros=127, nan=0, inf=0, finite_raw=277, finite_out=220, removed_isolated=7
[INFO] [1783164081.382971549] [simple_scan_filter]: scan stats: n=404, zeros=125, nan=0, inf=0, finite_raw=279, finite_out=218, removed_isolated=9
[INFO] [1783164086.378114631] [simple_scan_filter]: scan stats: n=404, zeros=126, nan=0, inf=0, finite_raw=278, finite_out=223, removed_isolated=7
[INFO] [1783164091.466838766] [simple_scan_filter]: scan stats: n=404, zeros=125, nan=0, inf=0, finite_raw=279, finite_out=223, removed_isolated=5
[INFO] [1783164096.468136269] [simple_scan_filter]: scan stats: n=404, zeros=129, nan=0, inf=0, finite_raw=275, finite_out=220, removed_isolated=5
[INFO] [1783164101.467426254] [simple_scan_filter]: scan stats: n=404, zeros=135, nan=0, inf=0, finite_raw=269, finite_out=213, removed_isolated=7
[INFO] [1783164106.464154680] [simple_scan_filter]: scan stats: n=404, zeros=125, nan=0, inf=0, finite_raw=279, finite_out=221, removed_isolated=4
[INFO] [1783164111.452508170] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=225, removed_isolated=5
[INFO] [1783164116.450155605] [simple_scan_filter]: scan stats: n=404, zeros=123, nan=0, inf=0, finite_raw=281, finite_out=222, removed_isolated=5
[INFO] [1783164121.447233566] [simple_scan_filter]: scan stats: n=404, zeros=133, nan=0, inf=0, finite_raw=271, finite_out=214, removed_isolated=13
[INFO] [1783164126.442890262] [simple_scan_filter]: scan stats: n=404, zeros=129, nan=0, inf=0, finite_raw=275, finite_out=217, removed_isolated=6
[INFO] [1783164131.442049279] [simple_scan_filter]: scan stats: n=404, zeros=122, nan=0, inf=0, finite_raw=282, finite_out=216, removed_isolated=5
[INFO] [1783164136.438757239] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=219, removed_isolated=7
