publisher: beginning loop
publishing #1: std_msgs.msg.String(data='bottle')

publishing #2: std_msgs.msg.String(data='bottle')

publishing #3: std_msgs.msg.String(data='bottle')

publishing #4: std_msgs.msg.String(data='bottle')

publishing #5: std_msgs.msg.String(data='bottle')

publishing #6: std_msgs.msg.String(data='bottle')

publishing #7: std_msgs.msg.String(data='bottle')

publishing #8: std_msgs.msg.String(data='bottle')

publishing #9: std_msgs.msg.String(data='bottle')

publishing #10: std_msgs.msg.String(data='bottle')

publishing #11: std_msgs.msg.String(data='bottle')

publishing #12: std_msgs.msg.String(data='bottle')

publishing #13: std_msgs.msg.String(data='bottle')

publishing #14: std_msgs.msg.String(data='bottle')

publishing #15: std_msgs.msg.String(data='bottle')

publishing #16: std_msgs.msg.String(data='bottle')

publishing #17: std_msgs.msg.String(data='bottle')

publishing #18: std_msgs.msg.String(data='bottle')

publishing #19: std_msgs.msg.String(data='bottle')

publishing #20: std_msgs.msg.String(data='bottle')

publishing #21: std_msgs.msg.String(data='bottle')

publishing #22: std_msgs.msg.String(data='bottle')

publishing #23: std_msgs.msg.String(data='bottle')

publishing #24: std_msgs.msg.String(data='bottle')

publishing #25: std_msgs.msg.String(data='bottle')

publishing #26: std_msgs.msg.String(data='bottle')

publishing #27: std_msgs.msg.String(data='bottle')

publishing #28: std_msgs.msg.String(data='bottle')

publishing #29: std_msgs.msg.String(data='bottle')

publishing #30: std_msgs.msg.String(data='bottle')

publishing #31: std_msgs.msg.String(data='bottle')

publishing #32: std_msgs.msg.String(data='bottle')

publishing #33: std_msgs.msg.String(data='bottle')

publishing #34: std_msgs.msg.String(data='bottle')

publishing #35: std_msgs.msg.String(data='bottle')

publishing #36: std_msgs.msg.String(data='bottle')

publishing #37: std_msgs.msg.String(data='bottle')

publishing #38: std_msgs.msg.String(data='bottle')

publishing #39: std_msgs.msg.String(data='bottle')

publishing #40: std_msgs.msg.String(data='bottle')

publishing #41: std_msgs.msg.String(data='bottle')

publishing #42: std_msgs.msg.String(data='bottle')

publishing #43: std_msgs.msg.String(data='bottle')

publishing #44: std_msgs.msg.String(data='bottle')

publishing #45: std_msgs.msg.String(data='bottle')

publishing #46: std_msgs.msg.String(data='bottle')

publishing #47: std_msgs.msg.String(data='bottle')

publishing #48: std_msgs.msg.String(data='bottle')

publishing #49: std_msgs.msg.String(data='bottle')

publishing #50: std_msgs.msg.String(data='bottle')

publishing #51: std_msgs.msg.String(data='bottle')

publishing #52: std_msgs.msg.String(data='bottle')

publishing #53: std_msgs.msg.String(data='bottle')

publishing #54: std_msgs.msg.String(data='bottle')

publishing #55: std_msgs.msg.String(data='bottle')

publishing #56: std_msgs.msg.String(data='bottle')

publishing #57: std_msgs.msg.String(data='bottle')

publishing #58: std_msgs.msg.String(data='bottle')

publishing #59: std_msgs.msg.String(data='bottle')

publishing #60: std_msgs.msg.String(data='bottle')

publishing #61: std_msgs.msg.String(data='bottle')

publishing #62: std_msgs.msg.String(data='bottle')

publishing #63: std_msgs.msg.String(data='bottle')

publishing #64: std_msgs.msg.String(data='bottle')

publishing #65: std_msgs.msg.String(data='bottle')

publishing #66: std_msgs.msg.String(data='bottle')

publishing #67: std_msgs.msg.String(data='bottle')

