[INFO] [1781598795.756536982] [compressed_to_raw_image]: compressed_to_raw_image started
[INFO] [1781598795.758806898] [compressed_to_raw_image]: subscribe: /image  type=sensor_msgs/msg/CompressedImage
[INFO] [1781598795.760799731] [compressed_to_raw_image]: publish  : /image_raw type=sensor_msgs/msg/Image
[INFO] [1781598797.678096549] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.11
[INFO] [1781598799.678121425] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598801.678513968] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598803.728049287] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598805.778166814] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598807.785645188] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.94
[INFO] [1781598809.837608965] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598811.887519034] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598813.935018478] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781598815.988437797] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781598818.036114241] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781598820.077108730] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.08
[INFO] [1781598822.142330337] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.85
[INFO] [1781598824.176142411] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.17
[INFO] [1781598826.293882543] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=17.00
[INFO] [1781598828.327969950] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=22.12
[INFO] [1781598830.343653197] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.84
[INFO] [1781598832.376375606] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.17
[INFO] [1781598834.378933190] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598836.425758386] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781598838.428706762] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598840.435438804] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.93
[INFO] [1781598842.479860417] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.05
[INFO] [1781598844.531749403] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598846.576287184] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.05
[INFO] [1781598848.598802554] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.81
[INFO] [1781598850.636194378] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.11
[INFO] [1781598852.699900694] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.89
[INFO] [1781598854.730026146] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.18
[INFO] [1781598856.780872341] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598858.827994495] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781598860.880084024] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598862.882467734] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598864.883821361] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598866.931250683] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781598868.937975975] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.93
[INFO] [1781598870.977565966] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.10
[INFO] [1781598872.980748552] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.96
[INFO] [1781598875.028086040] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781598877.027940627] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598879.032299503] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781598881.076956035] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.04
[INFO] [1781598883.078668037] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598885.083141456] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.96
[INFO] [1781598887.129420029] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.04
[INFO] [1781598889.179264350] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598891.228621797] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781598893.230424675] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598895.278300414] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781598897.281010833] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598899.284386128] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781598901.327144577] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.06
[INFO] [1781598903.330056288] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781598905.336524624] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.93
[INFO] [1781598907.381441072] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.06
[INFO] [1781598909.397339946] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.85
[INFO] [1781598911.430345649] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.16
[INFO] [1781598913.435369985] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.94
[INFO] [1781598915.482573558] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781598917.527877048] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.04
[INFO] [1781598919.529249177] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598921.528864015] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598923.529488894] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598925.595064379] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.85
[INFO] [1781598927.628590498] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.16
[INFO] [1781598929.629423919] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598931.680030575] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598933.729538064] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781598935.730255944] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598937.777570018] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781598939.780629563] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598941.781848276] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.98
[INFO] [1781598943.826942976] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.04
[INFO] [1781598945.828890439] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598947.831439777] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.97
[INFO] [1781598949.878246142] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.03
[INFO] [1781598951.878890981] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.99
[INFO] [1781598953.879578819] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598955.930402518] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.00
[INFO] [1781598957.977985883] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.02
[INFO] [1781598960.027342707] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.01
[INFO] [1781598962.038780959] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.88
[INFO] [1781598964.080086785] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.09
[INFO] [1781598966.137958482] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.92
[INFO] [1781598968.179689516] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=20.09
[INFO] [1781598970.243502877] [compressed_to_raw_image]: published /image_raw: 1280x720, approx_fps=19.85
