[WARN] [1781598805.617248781] [hobot_yolo_world]: This is hobot yolo world!
[WARN] [1781598805.709912377] [hobot_yolo_world]: Parameter:
 feed_type(0:local, 1:sub): 1
 image: config/yolo_world_test.jpg
 dump_render_img: 0
 is_shared_mem_sub: 0
 score_threshold: 0.006
 iou_threshold: 0.45
 nms_top_k: 50
 texts: green bottle,bottle,cup
 ai_msg_pub_topic_name: /hobot_yolo_world
 ros_img_sub_topic_name: /image_raw
 ros_string_sub_topic_name: /target_words
[WARN] [1781598805.949709552] [hobot_yolo_world]: Parameter:
 model_file_name: config/yolo_world.bin
 model_name: 
[WARN] [1781598805.949881552] [hobot_yolo_world]: model_file_name_: config/yolo_world.bin, task_num: 4
[BPU_PLAT]BPU Platform Version(1.3.6)! soc info(x5)
[HBRT] set log level as 0. version = 3.15.55.0
[DNN] Runtime version = 1.24.5_(3.15.55 HBRT)
[A][DNN][packed_model.cpp:247][Model](2026-06-16,16:33:26.576.10) [HorizonRT] The model builder version = 1.23.5
[WARN] [1781598806.900062672] [hobot_yolo_world]: Get model name: yolo_world_pad_pretrain_norm_new from load model.
[WARN] [1781598806.900276131] [hobot_yolo_world]: Create ai msg publisher with topic_name: /hobot_yolo_world
[WARN] [1781598806.925583123] [hobot_yolo_world]: Create string subscription with topic_name: /target_words
[WARN] [1781598806.928907580] [hobot_yolo_world]: Create img subscription with topic_name: /image_raw
[W][DNN]bpu_model_info.cpp:491][Version](2026-06-16,16:33:26.887.921) Model: yolo_world_pad_pretrain_norm_new. Inconsistency between the hbrt library version 3.15.55.0 and the model build version 3.15.47.0 detected, in order to ensure correct model results, it is recommended to use compilation tools and the BPU SDK from the same OpenExplorer package.
[WARN] [1781598808.356510801] [hobot_yolo_world]: Sub img fps: -1.00, Smart fps: 14.44, pre process time ms: 24, infer time ms: 316, post process time ms: 1
[WARN] [1781598809.477832910] [hobot_yolo_world]: Sub img fps: 21.03, Smart fps: 11.60, pre process time ms: 24, infer time ms: 397, post process time ms: 1
[WARN] [1781598810.522457918] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 13.41, pre process time ms: 25, infer time ms: 315, post process time ms: 1
[WARN] [1781598811.642629652] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 11.61, pre process time ms: 24, infer time ms: 378, post process time ms: 1
[WARN] [1781598812.685705326] [hobot_yolo_world]: Sub img fps: 19.67, Smart fps: 13.44, pre process time ms: 25, infer time ms: 317, post process time ms: 1
[WARN] [1781598813.807324768] [hobot_yolo_world]: Sub img fps: 20.37, Smart fps: 11.60, pre process time ms: 22, infer time ms: 396, post process time ms: 2
[WARN] [1781598814.851697818] [hobot_yolo_world]: Sub img fps: 19.96, Smart fps: 13.41, pre process time ms: 23, infer time ms: 316, post process time ms: 1
[WARN] [1781598815.975067842] [hobot_yolo_world]: Sub img fps: 19.83, Smart fps: 11.58, pre process time ms: 25, infer time ms: 394, post process time ms: 2
[WARN] [1781598817.020443766] [hobot_yolo_world]: Sub img fps: 20.13, Smart fps: 13.40, pre process time ms: 26, infer time ms: 318, post process time ms: 2
[WARN] [1781598818.153080038] [hobot_yolo_world]: Sub img fps: 20.08, Smart fps: 11.48, pre process time ms: 25, infer time ms: 398, post process time ms: 2
[WARN] [1781598819.223827205] [hobot_yolo_world]: Sub img fps: 18.50, Smart fps: 13.07, pre process time ms: 37, infer time ms: 316, post process time ms: 1
[WARN] [1781598820.344682938] [hobot_yolo_world]: Sub img fps: 21.32, Smart fps: 11.61, pre process time ms: 23, infer time ms: 376, post process time ms: 1
[WARN] [1781598821.397221694] [hobot_yolo_world]: Sub img fps: 20.37, Smart fps: 13.31, pre process time ms: 24, infer time ms: 319, post process time ms: 2
[WARN] [1781598822.518333178] [hobot_yolo_world]: Sub img fps: 19.91, Smart fps: 11.60, pre process time ms: 57, infer time ms: 398, post process time ms: 2
[WARN] [1781598823.569058308] [hobot_yolo_world]: Sub img fps: 19.70, Smart fps: 13.33, pre process time ms: 25, infer time ms: 318, post process time ms: 2
