[INFO] [1781876541.837072963] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781876541.840794962] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB1
[INFO] [1781876542.418736467] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781876542.422018258] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781876542.425872298] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.070 m/s, max_wz=0.260 rad/s
[INFO] [1781876542.428882922] [cmd_vel_to_rosmaster]: Smooth: alpha=0.55 dvx=0.010 dwz=0.008 rate=20.0Hz
[INFO] [1781876542.431859880] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.055, kick_wz=0.240, duration=0.045s, cooldown=0.550s, cmd_wz_deadzone=0.012
[INFO] [1781876544.423527364] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876546.424994679] [cmd_vel_to_rosmaster]: status: battery=10.2, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876548.422022245] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876550.420776352] [cmd_vel_to_rosmaster]: status: battery=10.2, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876552.420459042] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876554.423826273] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876556.422406046] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876558.421943819] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876560.430042047] [cmd_vel_to_rosmaster]: status: battery=10.2, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876562.446413482] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876564.422361469] [cmd_vel_to_rosmaster]: status: battery=10.2, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876566.435199529] [cmd_vel_to_rosmaster]: status: battery=10.2, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876568.421083388] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876568.917334291] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876569.361290875] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876569.459519055] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876569.604833389] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876569.667213580] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876569.777509758] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876569.927926632] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876570.051317681] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876570.116261413] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876570.246309168] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876570.395002876] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876570.420389994] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.000, wz=0.000)
[INFO] [1781876570.530854379] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=True
[INFO] [1781876570.678260380] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876570.788988265] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876570.884374447] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876570.977740254] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.129905878] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.276008587] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.380634182] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.489008735] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.590218249] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.746736580] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.887152874] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876571.979490139] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.084124902] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.237138150] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.381487193] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.420097807] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.004, wz=0.000)
[INFO] [1781876572.524325653] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.624438125] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.727693179] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.838297856] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876572.994485063] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876573.146313478] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876573.283398440] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876573.378733371] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876573.481558384] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876573.626668052] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876573.774724218] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876573.935133090] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876574.030727771] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876574.130038160] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876574.278377993] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876574.427594243] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(0.0, 0.0, 0.0), last_cmd=(vx=0.004, wz=0.000)
[INFO] [1781876574.433095575] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876574.582670533] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876574.726804742] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876574.878481158] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.025603325] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.127112088] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.230707476] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.380620267] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.527492976] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.627883239] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.751874329] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876575.883041543] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876576.042862206] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876576.177497002] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876576.338630581] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
