[INFO] [1781274649.161316346] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781274649.167524636] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1781274649.784693848] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781274649.788270889] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781274649.792793429] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1781274649.799553177] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.100 m/s, max_wz=0.200 rad/s
[INFO] [1781274649.812248506] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.110, kick_duration=0.220s, min_drive_vx=0.010, kick_max_wz=0.120, kick_cooldown=1.000s
[INFO] [1781274649.831549458] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274649.891499938] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274649.916645013] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274649.983848532] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.025435602] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.095988329] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.129995817] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.231111951] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.460078750] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.491927281] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.557189135] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.573479379] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.643753148] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.665632140] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.682560052] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.695599047] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.728263828] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.765319524] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.777381437] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.853202078] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.879952403] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274650.976425788] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.018444482] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.150642814] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.178078513] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.204430796] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
[INFO] [1781274651.230360537] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=0.020 => send: vx=0.000, vy=0.000, wz=0.020, kick=False
